request_id,client,campaign,platform,concept_id,concept_name,layout_family,size,delivered,format,bytes,kb,words,qa_status,qa_issues,cloudinary_public_id,secure_url,local_file
AD-2026-002138,Icon Solar,Summer Solar,amazon,A,Savings,T01,300x250,300x250,jpg,16539,16.2,18,pass,,,,/home/claude/smart1-ad-builder/out/amazon/A/iconsolar-com_A_300x250.jpg
AD-2026-002138,Icon Solar,Summer Solar,amazon,A,Savings,T01,336x280,336x280,jpg,18890,18.4,18,pass,,,,/home/claude/smart1-ad-builder/out/amazon/A/iconsolar-com_A_336x280.jpg
AD-2026-002138,Icon Solar,Summer Solar,amazon,A,Savings,T01,728x90,728x90,jpg,11639,11.4,13,pass,,,,/home/claude/smart1-ad-builder/out/amazon/A/iconsolar-com_A_728x90.jpg
AD-2026-002138,Icon Solar,Summer Solar,amazon,A,Savings,T01,160x600,160x600,jpg,15543,15.2,15,pass,,,,/home/claude/smart1-ad-builder/out/amazon/A/iconsolar-com_A_160x600.jpg
AD-2026-002138,Icon Solar,Summer Solar,amazon,A,Savings,T01,300x600,300x600,jpg,26373,25.8,25,pass,,,,/home/claude/smart1-ad-builder/out/amazon/A/iconsolar-com_A_300x600.jpg
AD-2026-002138,Icon Solar,Summer Solar,amazon,A,Savings,T01,320x50,640x100,jpg,9617,9.4,5,pass,,,,/home/claude/smart1-ad-builder/out/amazon/A/iconsolar-com_A_320x50.jpg
AD-2026-002138,Icon Solar,Summer Solar,amazon,A,Savings,T01,970x250,1940x500,jpg,84729,82.7,18,pass,,,,/home/claude/smart1-ad-builder/out/amazon/A/iconsolar-com_A_970x250.jpg
AD-2026-002138,Icon Solar,Summer Solar,amazon,A,Savings,T01,414x125,828x250,jpg,19820,19.4,7,pass,,,,/home/claude/smart1-ad-builder/out/amazon/A/iconsolar-com_A_414x125.jpg
AD-2026-002138,Icon Solar,Summer Solar,amazon,C,Offer,T04,300x250,300x250,jpg,16504,16.1,14,pass,,,,/home/claude/smart1-ad-builder/out/amazon/C/iconsolar-com_C_300x250.jpg
AD-2026-002138,Icon Solar,Summer Solar,amazon,C,Offer,T04,728x90,728x90,jpg,11988,11.7,9,pass,,,,/home/claude/smart1-ad-builder/out/amazon/C/iconsolar-com_C_728x90.jpg
AD-2026-002138,Icon Solar,Summer Solar,amazon,C,Offer,T04,300x600,300x600,jpg,23947,23.4,18,pass,,,,/home/claude/smart1-ad-builder/out/amazon/C/iconsolar-com_C_300x600.jpg
AD-2026-002138,Icon Solar,Summer Solar,amazon,C,Offer,T04,320x50,640x100,jpg,10619,10.4,6,pass,,,,/home/claude/smart1-ad-builder/out/amazon/C/iconsolar-com_C_320x50.jpg
